,Unnamed: 0.1,Unnamed: 0,scene_idx,pic_idx,file,cap0,cap1,cap2,cap3,cap4,cap5,train_cap,CIDEr,informative
15,190,190,603,1,Scene603_1.png,The girl and the boy are by a campfire.,A soccer ball is under the table.,The ketchup and pie are on the table.,The boy and the girl have build a campfire,They have a pie to eat later,The boy likes ketchup on his pie,boy and girl cooking barbecue in the park vector art illustration.,0.00793322990639135,1.0
16,195,195,603,9,Scene603_9.png,The boy and the girl are sitting by the campfire,The bear is on the airplane,Why is the cat riding the rocket,A bear is on top of an airplane!,A cat is on top of a rocket!,The girl and the boy have a pie.,animation film and animals at the beach vector art illustration.,0.00514123424662279,1.0
17,196,196,603,0,Scene603_0.png,The boy and the girl are sitting around the fire.,There is a pie on the picnic table.,The fire is orange color.,The girl is sitting by the table.,The pie is on the table.,The table is in front of a tree.,children playing on a park bench.,0.013696558641095685,1.0
18,244,244,550,2,Scene550_2.png,The boy is wearing glasses,The boy is wearing a blue cap,The girl is about to catch the football,The boy is wearing sunglasses.,The girl and the boy are throwing a football.,There is a single cloud in the sky.,young couple playing with ball on the green grass.,6.64031767498095e-07,1.0
19,245,245,550,9,Scene550_9.png,The boy is catching the football,The girl threw the football,The boy is in front of the table,The girl wants to catch the ball.,The boy is going to throw the football.,The picnic table is yellow.,boy and girl playing basketball in the park vector art illustration.,0.005806135362193123,1.0
20,248,248,550,4,Scene550_4.png,The girl kicked the football.,The boy wants to catch the football.,There are two swings on the swing set.,There is a single cloud in the sky.,The girl is kicking the football.,The boy is going to catch the football.,children playing on the swings at the playground.,0.042989760694167885,1.0
21,270,270,463,1,Scene463_1.png,The girl is surprise by the duck.,The boy is very excited.,The girl is sitting in the grass.,The boy and the girl wave to the duck,The boy and the girl sit under the hot air balloon,The girl is sitting next to the tree,children playing on the swing in the park.,0.01722027191605414,1.0
22,275,275,463,9,Scene463_9.png,A duck is on the slide.,The girl waves to a friend.,The boy plays on the swings.,The duck goes down the slide.,The girl and the boy are smiling at the duck.,The boy is standing at the swing set.,boy and girl having fun at the playground vector art illustration.,0.04123052048840065,1.0
23,278,278,463,4,Scene463_4.png,The duck is on the slide.,The airplane is in the sky.,The dog is next to the slide.,A plane flies overhead.,The duck is going down the slide.,The boy and the girl are watching the duck.,a vector illustration of happy family playing with dog.,0.02192225781880864,1.0
24,430,430,919,1,Scene919_1.png,The girl has a kite.,The boy's arms are in the air.,The cat is watching.,The girl is flying a kite.,The girl is going to run into the boy.,The cat is watching the boy and the girl.,kids swinging on the swing set vector art illustration.,8.665334272710716e-07,1.0
25,432,432,919,5,Scene919_5.png,The girl is wearing a crown.,The girl is flying a kite.,The boy wants to fly the kite.,The boy is very angry.,The girl is very happy.,The girl is holding a kite.,boy and girl holding a kite in the park.,0.9309930093976,0.0
26,433,433,919,8,Scene919_8.png,The girl is flying a kite.,The boy is mad because he wants the kite.,There are two clouds in the sky.,The girl is flying a kite.,The boy is angry.,The girl and the boy are standing under a cloud.,children playing with kite on the lawn.,0.39079595677472995,1.0
27,476,476,657,0,Scene657_0.png,The girl is sitting in the grass angry.,The boy has the girl's balloons.,The boy has on a colorful hat.,The boy took the balloons from the girl.,The girl is sitting on the ground.,The boy is jumping up and down.,children playing in the park.,0.012800654366655444,1.0
28,478,478,657,4,Scene657_4.png,The boy is holding balloons.,The girl is mad that she fell.,There is a hotdog othe picnic table.,There is a plane in the sky.,The boy is holding balloons.,Lunch is on the picnic table.,cute boy and girl flying a plane at the airport.,0.16321258920245188,1.0
29,479,479,657,3,Scene657_3.png,It is raining on the girl.,The boy has balloons in his hand.,The girl is wearing a viking helment.,The boy holds three colorful balloons.,The rain is pouring down on the girl.,The girl wears a Viking hat in the rain.,boy and girl jumping with a dog.,0.0012585776326624306,1.0
30,481,481,328,7,Scene328_7.png,The boy is scared of a snake that sneaks behind the girl.,The boy and the girl are playing football in the park as a snake watched.,The boy yells for the girl to be careful of the snake behind her.,There is a snake near the girl.,The boy is throwing a football.,There is a balloon floating over the boy.,children playing on the green lawn.,0.013692365955237389,1.0
31,485,485,328,9,Scene328_9.png,The girl has a football.,A balloon is flying.,A cloud is in the sky.,The girl is throwing the football.,The boy is waiting to catch the football.,A hot air balloon is flying.,animation of a girl and a boy flying in a hot air balloon.,0.3492836930426275,1.0
32,488,488,328,4,Scene328_4.png,The girl throws the football to the boy,The boy is wearing blue shorts,The girl is wearing a witch's hat,The girl is throwing the ball.,The boy is catching the ball.,The girl is wearing a hat.,boy and girl flying with a kite.,0.003608807797931969,0.0
33,560,560,31,1,Scene31_1.png,The girl cries as it rains on the pie in her hands.,The boy laughs as he sits cross-legged on the ground.,Apples grow on the tree next to the picnic table with the hot dog on it.,The boy is very happy.,The girl is holding a pie.,A hot-dog is on a table.,child feeding a dinosaur with a straw.,0.008818466191367618,1.0
34,561,561,31,7,Scene31_7.png,There is a thunderstorm.,The cat is stuck in a tree.,The girl is sad because her pie is wet.,The girl's pie is being rained on.,The boy loves thunderstorms.,The boy put all the balls under the tree.,children playing with a soccer ball under the tree illustration.,0.11380203548940657,1.0
35,564,564,31,2,Scene31_2.png,The boy is happy for the girl.,The girl isn't happy with her pie.,The rain brought apples to the tree.,There is an apple tree next to the boy.,There is a slide behind the girl.,The girl looks sadly at the pie.,couple in love under an umbrella in the park vector art illustration.,0.03426036159067584,1.0
36,700,700,607,1,Scene607_1.png,The cat sits on the sliding board.,A rain cloud drifts over the campfire.,The girl is sad about the change in weather and cries.,The boy is mad it is raining.,The girl is sad she burned her hand.,The boy made a campfire.,family picnic under the bonfire.,0.10337342621832281,1.0
37,704,704,607,2,Scene607_2.png,The lightning is above the girl,The dog is next to the boy,The fire is between the boy and the girl,It is raining and lightning out.,The girl and the boy are angry at each other.,The dog is next to the boy.,children playing with a dog.,0.07766832970515809,1.0
38,708,708,607,4,Scene607_4.png,It is raining on the fire.,The girl wants the boy to get up.,The boy fell down on the ground and is sad.,Rain drops are falling on the fire.,The boy is sitting on the grass.,The girl is looking at the boy.,boy and girl standing in the park and holding hands.,0.011148912637990257,1.0
39,710,710,891,1,Scene891_1.png,The girl brought a basketball.,A hot air balloon landed in the park.,The boy is playing with a baseball.,The boy has a colorful hat on.,The girl is very happy.,The girl has on purple shades.,a vector illustration of happy family having fun in the summer.,0.04390337306513611,1.0
40,714,714,891,2,Scene891_2.png,The boy is holding a basketball.,The girl is holding a baseball.,The girl wants to trade toys with the boy.,The boy doesn't want to play baseball.,The boy is holding a basketball.,The girl is holding a baseball.,kids playing basketball in the park vector art illustration.,0.18082047144715066,1.0
41,716,716,891,0,Scene891_0.png,The girl has a basketball,The boy has a baseball,The boy is wearing blue shoes,The boy and the girl are laughing together.,The boy is holding a baseball.,The girl has a basketball on her lap.,boy and girl playing with ball on the lawn.,0.008882802219807077,1.0
42,840,840,653,1,Scene653_1.png,The girl is upset because the pizza fell on the grass.,The cat is sitting on the picnic table.,The football is on the ground behind the boy.,The boy wants to eat the cat,The girl wants to eat the pizza,The cat wishes the fighting would stop,playful little boy and girl sitting on a bench in the park with cat and dog vector art illustration.,0.08636939241930776,1.0
43,846,846,653,0,Scene653_0.png,The girl is sitting by the apple tree.,The boy is wearing a blue cap.,The pizza is on the ground.,The boy is very sad.,The girl is very mad.,A pizza is in the grass.,cute family eating ice cream in the park.,0.008541276225905548,0.0
44,849,849,653,3,Scene653_3.png,The girl doesn't want to play ball.,The cat wants the pizza.,The girl is angry at the boy.,The girl is sitting on the picnic table.,The boy is sitting by the pizza.,The cat is looking at the ball.,children having a picnic in the park.,0.08331822562394264,1.0
45,886,886,485,0,Scene485_0.png,The boy is wearing sunglasses.,The girl is stuck in the rain.,The boy and the girl want the pizza.,It is raining today.,A pizza is on the picnic table.,The boy and the girl are running.,kids playing in the park on a sunny day.,0.015288826318952266,1.0
46,888,888,485,4,Scene485_4.png,It is raining on the girl and the boy.,The pizza is on the table.,The girl is crying.,The boy is sad to fall on the ground.,The girl is sad it is raining.,The boy and the girl share a pizza.,boy and girl sitting on a bench in the park vector art illustration.,0.02237028882611907,1.0
47,889,889,485,3,Scene485_3.png,The boy is worried about the pizza.,The girl is wearing sunglasses.,The girl is waving at the boy.,It is raining on the pizza.,There is a pizza on a picnic table.,The boy and the girl are wearing sunglasses.,child and mother under umbrella playing in the rain.,0.006335215514661751,1.0
48,943,943,604,8,Scene604_8.png,Everyone is very angry!,The boy is sitting on the ground.,There is a hot air balloon above.,A bear is behind the boy and the girl.,The boy is sitting on ground beside the girl.,A snake is behind the girl.,children playing in the park with a bear.,0.047203649080511556,1.0
49,944,944,604,2,Scene604_2.png,A bear is standing behind the boy.,Kelly is afraid of the bear and snake.,The boy is mad that Kelly dropped the Frisbee.,The girl looks startled by the snake and bear.,The boy doesn't notice the snake and bear.,A hot-air balloon flies overhead.,children with teddy bear and teddy bear having fun in the park vector art illustration.,0.15429441025351184,1.0
50,946,946,604,0,Scene604_0.png,The girl saw the green snake.,The boy was mad at the green snake.,The bear was afraid of the green snake.,The girl looks angrily at the partially blocked sun.,The bear is frightened of the boy's angry face.,A hot air balloon floats above the tent.,kids playing in the forest.,1.1038944004273943e-06,0.0
51,1021,1021,74,7,Scene74_7.png,The girl calls for help when the cat gets stuck in the tree.,The girl is upset because the cat is in the tree and it is storming.,The cat is hiding in the tree from the girl.,The cat is in the tree.,It is lightening.,The girl is standing by the sandbox.,girl flying kite in the sky.,0.041262020936091534,1.0
52,1026,1026,74,0,Scene74_0.png,The cat is sitting in the tree.,The girl is wearing a hat.,There is lightning in the sky.,The cat is sitting in a the tree.,There is a storm in the sky.,The girl's shoes are black.,girl playing with fire in the park illustration.,0.04384111704025654,1.0
53,1027,1027,74,6,Scene74_6.png,The boy is wearing a glasses.,A cat is sitting on top of the tree.,A lightning is striking on a tree.,The boy is wearing sun glasses.,The cat is on the tree.,The boy is holdng the frisbee.,the girl and the tiger in the forest.,3.1334975554114834e-06,1.0
54,1042,1042,440,5,Scene440_5.png,The boy wanted the girl to come play with him.,The girl had four balloons.,The bear waved at the boy.,The boy angrily sits in the sandbox by himself.,The girl happily holds four balloons.,A bear screams in terror looking at the girl.,children playing with toys in the park illustration.,0.019061674685174633,0.0
55,1043,1043,440,8,Scene440_8.png,The boy is angry that the girl is not playing with him.,The girl is having fun with her balloons.,Looks like it might rain again with the gray cloud.,The boy is sitting in a sand-box.,The girl is playing with balloons.,The boy is very mad.,boy jumping on a trampoline.,0.00048275173881639496,1.0
56,1044,1044,440,2,Scene440_2.png,The boy is sitting in the sand box.,The girl is holding the balloons.,The sunis shinning.,The boy is sitting in a sandbox.,The girl is holding baloons.,The boy is sad because he wants the baloons.,children playing in the sandbox.,0.11319179931022724,1.0
57,1056,1056,835,0,Scene835_0.png,A dog are sitting next to the girl.,The boy is kicking a soccer ball.,A cat is sitting next to the girl.,The boy kicks the soccer ball.,The girl sees the boy far away.,The dog and cat sit with the girl.,cartoon girl playing with her dogs in the park.,0.02036958660006389,1.0
58,1057,1057,835,6,Scene835_6.png,The boy is wearing a pointy hat.,The girl is wearing a viking helmet.,The dog is standing in front of the girl.,The girl is sitting by the dog.,The boy is playing with the soccer ball.,Hot dogs are cooking on the barbeque.,a dog and cat are flying on the plane.,0.14318100537339504,0.0
59,1058,1058,835,4,Scene835_4.png,A cat is on the girl's lap,The boy is kicking a soccer ball,A dog is standing by the girl,The boy and the girl looked surprised.,Dog and Cat play with the girl.,The boy and the girl see something in the distance.,mother playing with a child on the football field.,0.01855591194350881,1.0
60,1071,1071,412,7,Scene412_7.png,The cloud is raining.,The girl is wearing a hat.,There is a plane in the sky.,The girl angrily demands the football.,The boy is worried about the raindrops.,An airplane flies past the raining cloud.,boy and girl jumping with an airplane.,0.051508270160364286,1.0
61,1076,1076,412,0,Scene412_0.png,The boy is sitting in front of the tree.,The cat is in between the girl and the boy.,The girl is angry at the cat.,The boy is calling the cat.,There are two clouds in the sky.,The girl looks mad at the cat.,children playing in the park with dog.,0.022069127456109672,1.0
62,1078,1078,412,4,Scene412_4.png,The rain started to fall so the duck hid under the tree.,The boy kicked the basketball over to the girl.,The girl didn't want to play with the ball because it was raining.,It is beginning to rain.,The duck is under a tree.,The boy is kicking a basketball.,a vector illustration of children playing in the park.,0.001064207604431457,1.0
63,1131,1131,373,7,Scene373_7.png,The boy is angry at a dog  and starts to run at it.,The girl wants the boy to leave the dog alone.,The dog is sitting under an apple tree.,The boy dropped his baseball glove.,The girl is surprised that the dog is in the park.,The boy and the girl are in front of an apple tree.,boy and girl playing in the park on a sunny day.,0.11836975557947194,1.0
64,1136,1136,373,0,Scene373_0.png,The boy is angry with the girl for dropping his mitten.,The girl is sad because the boy is too competitive,The boy is angry because his mitten fell in dog poop.,The boy is angry at the girl.,The girl is crying because the boy is mad.,The boy dropped the glove.,girl running with dog on the meadow.,0.017354076578431223,1.0
65,1138,1138,373,4,Scene373_4.png,The girl and the boy play by an apple tree.,The boy drops his baseball glove on the ground.,The dog enjoys standing on the grass.,The girl is feeling sad.,The dog is watching the boy.,The boy is running towards the girl.,children playing in the park illustration.,1.2570149276786983e-06,1.0
66,1140,1140,332,1,Scene332_1.png,The girl is holding an owl on her arm.,It is sunny so the boy wore sunglasses.,The girl is happy to see the boy at the park.,The girl is holding the owl in her hand.,The boy is wearing purple glasses.,The girl is sitting on the grass.,a mother and daughter play on swings at a playground.,0.028405013273912618,1.0
67,1144,1144,332,2,Scene332_2.png,The girl is holding an owl,The boy is trying to kick the girl,The dog is behind the boy,The girl is holding an owl.,The boy is kicking the girl.,The dog is beside the boy.,children walking with dog in the park.,0.059202358025103534,1.0
68,1146,1146,332,0,Scene332_0.png,The boy has a tennis racket,The girl is carrying an owl,The boy has blue shoes,The girl is holding an owl.,The boy is holding a tennis racket.,The girl is wearing a crown.,couple playing tennis on a green background.,0.1391063879785537,1.0
69,1153,1153,125,8,Scene125_8.png,The owl is wearing goggles.,The owl is in the tree.,There is a witch hat in the tree.,The girl found her hat in the tree.,The boy is going to pull the girl's pigtail.,The owl took the hat and the sunglasses.,animation of a family walking in a park.,0.014965777121131816,1.0
70,1156,1156,125,0,Scene125_0.png,The boy is wearing a wizard hat,The boy and the girl sit near an apple tree,A helicopter is flying by,The boy is wearing a purple witch hat.,The girl is wearing a blue hat with a star.,There are five apples on the tree.,children flying around a spaceship in the garden.,0.029191425646589234,1.0
71,1157,1157,125,6,Scene125_6.png,The dog has made the kite invisible.,The boy and the girl are watching a magic show.,The cat is offended by the dog's hat.,The dog is wearing a wizard hat.,The kite is stuck in the tree.,The girl is calling the dog to her.,a green and blue abstract background.,0.003483820311056375,1.0
72,1162,1162,18,5,Scene18_5.png,It is raining on the playground.,Lightening hits the swingset.,The swings rock in the breeze.,The park is empty today.,No one is playing in the sandbox.,It is raining and lightning.,children's playground in the park.,0.24353092713095673,1.0
73,1167,1167,18,6,Scene18_6.png,Rain is coming from the cloud.,There is lightning in the sky.,There is a bucket in the sandbox.,There is rain and lightning in the sky.,There is a pink bucket in the sandbox.,The swings are moving from the wind.,little boy swinging on a swing under the rainbow.,0.0007971464890560465,0.0
74,1168,1168,18,4,Scene18_4.png,The cat is sitting next to a beach ball.,There is rain falling from a cloud.,A swing is swinging in the air.,The cat is sitting by the ball.,It is raining in the park.,The table is next to the swing.,animals playing in the park on a sunny day.,0.12199634082565922,1.0
75,1231,1231,899,7,Scene899_7.png,The girl and the boy are playing ball,The girl looks mad,The boy is happy.,The boy and the girl are playing ball.,The boy is beside the apple tree.,The sun is in the sky.,children jumping on a trampoline.,0.0,1.0
76,1233,1233,899,8,Scene899_8.png,The girl is angry.,A bear is behind the girl.,The boy is wearing a crwon.,The girl and the boy are playing ball at the park.,The boy is a crown with gems on it.,The bear is standing behind the girl.,boy and girl playing basketball in the park.,0.1635650691996478,1.0
77,1238,1238,899,4,Scene899_4.png,The boy threw the basketball to the girl.,The girl is wearing a witch's hat.,The sun is shining.,The girl is wearing a hat.,The boy and the girl are playing with a basketball.,The girl is happy  but the boy is surprised.,kids spinning a basketball on the grass.,0.25033353411782977,0.0
78,1240,1240,526,1,Scene526_1.png,The boy is holding the hot dog.,The owl is in the tree.,The girl is sitting next to the snake.,The green snaked scared the girl.,The boy had a hotdog.,The girl wanted a hotdog too.,children playing on the grass in the park.,0.01648756975435737,1.0
79,1243,1243,526,8,Scene526_8.png,The boy is sitting by the tree.,The girl is afraid of the snake.,The owl is perched in the tree.,The boy is very has a hot-dog.,The girl is very surprised.,The girl is sitting on the grass.,animals flying in the sky vector art illustration.,0.005745956912965813,1.0
80,1244,1244,526,2,Scene526_2.png,The boy is eating a hot dog.,The snake is moving towards the girl.,The owl is sitting in the tree.,A brown owl is in the tree.,The boy is eating a hot dog.,The girl is scared of the snake.,kids playing in the park vector art illustration.,0.01873016384205166,0.0
81,1290,1290,452,1,Scene452_1.png,The boy is scared of the ball.,The boy wants to eat his hotdog.,The boy doesn't want to play basketball.,The boy is shocked to see the lack of ketchup.,A hotdog is sitting on the table.,The girl is nowhere to be found.,boy playing basketball in the park on a sunny day.,0.07896870005596134,1.0
82,1291,1291,452,7,Scene452_7.png,The boy is kicking the basketball along.,The mustard is sitting on the table.,The two swings are empty.,The boy kicked the basketball.,The mustard is on the yellow table.,No one is playing on the swing set.,a boy playing with a basketball on a playground.,0.25890283942941184,0.0
83,1297,1297,452,6,Scene452_6.png,The boy threw the basketball at the picnic table.,The boy was afraid the ball was going to hit the hotdog.,The hotdog sat by the mustard on the table.,The boy got mad and threw the ball.,The ball landed in the food.,The boy is playing ball in the park.,boy playing basketball on the bench in the park.,0.26285726518794805,1.0
84,1321,1321,139,7,Scene139_7.png,An owl is perched in the tree.,The girl  is kicking a beach ball.,The boy is copying the girl's kick.,The girl is kicking a beach ball.,The boy and the girl are having fun.,The boy sees an owl in the tree.,children playing in the park.,0.01831805433066421,1.0
85,1323,1323,139,8,Scene139_8.png,The owl watches the boy and the girl play.,The girl happily kicks the beach ball.,The boy is sad because he wants the ball.,There is an owl in the tree.,The girl is having fun today.,The boy is sad because he didn't get to kick the ball.,children playing in the park illustration.,0.010536800686503756,1.0
86,1324,1324,139,2,Scene139_2.png,The girl kicks the beach ball toward the owl.,The hot air balloon flies over the boy.,The boy claps for the girl.,The girl kicked the beach ball.,The owl watches the boy and the girl play.,A hot air balloon is in the sky.,happy children jumping with balloons in the park.,0.00975062071587214,1.0
87,1330,1330,576,1,Scene576_1.png,The bear is wearing glasses,The cat doesn't like the bear.,The bear is wearing a pirate hat.,The bear scares the campers.,The cat is watching the bear.,The pail is outside the sandbox.,a cat and a bear in front of a fence.,0.3192433415432344,0.0
88,1333,1333,576,8,Scene576_8.png,A bear is trying to scare a cat.,The cat is playing in the sandbox.,The bear and the cat in the rain.,The cat is sitting in the sandbox.,The bear is trying to scare the cat.,The cat and bear are going to get rained on.,how to draw a teddy bear in venture funded company.,0.08586091689331576,0.0
89,1334,1334,576,2,Scene576_2.png,The bear is wearing sunglasses.,The bear is roaring at the cat.,The cat is sitting by the slide.,The cat is guarding the slide,The bear wants to go down the slide,The cat says no way bear,bear climbing the ladder to the big cat vector art illustration.,0.15249080941740595,1.0
90,1385,1385,55,9,Scene55_9.png,An owl sits on the barbeque grill.,The boy and the girl are upset at the owl.,A helicopter flies by in the background.,There is a helicopter in the sky.,An owl is sitting on the grill.,The boy and the girl are jumping up and down.,happy family on the barbecue.,0.015443731115110756,1.0
91,1387,1387,55,6,Scene55_6.png,The kite is floating away.,The owl is sitting on the hamburger.,The boy wants the kite to come back.,The owl is on the hamburger.,The hamburger is on the grill.,There is a ketchup bottle on the table.,happy children running with kite in the park.,0.20434769161549526,1.0
92,1388,1388,55,4,Scene55_4.png,An owl is in the table.,The boy seems to be sad.,The girl seems to be angry.,The boy was sad the owl at ruined their picnic.,The girl tried to scare away the owl.,The owl came to tell the girl that the boy had to go away.,a mother and daughter play a board game together in a garden.,0.0034030335432978006,1.0
93,1440,1440,348,1,Scene348_1.png,The boy and the girl are on the swings.,The boy is wearing a hat.,The dog is watching the boy and the girl.,The boy is sitting in a swing-set.,A dog is near the girl.,The girl is wearing pink.,a mother and her child playing with their dog in the park on a sunny day.,0.07514104817083869,1.0
94,1445,1445,348,9,Scene348_9.png,Kelly and the boy are swinging.,The dog is under the apple tree.,Kelly and the boy are happy to see the dog.,The boy and the girl swing on the swing,The boy is beside the apple tree,There's a dog in front of the girl,kids playing in the park illustration.,0.006030107226544499,0.0
95,1446,1446,348,0,Scene348_0.png,The boy is sitting on the swing.,The girl is sitting on the swing.,The dog is standing next to the swing.,The girl and the boy are on the swings.,The dog is watching the boy and the girl.,The swing set is near the apple tree.,children swinging on a swing in the park.,0.3177133073465916,0.0
96,1490,1490,893,1,Scene893_1.png,The boy is holding a cup.m,The boy and the girl are afraid of the snake.,There is an Ariadne in the sky.,The boy holds his drink up high.,The girl is scared of the snake.,The boy sees an airplane in the sky.,boy and girl running away from a plane.,0.008208650675380867,1.0
97,1493,1493,893,8,Scene893_8.png,The cloud is raining on the boy and the girl.,The snake scared the boy and the girl.,The snake is next to a tree.,The boy and the girl are sad because it is raining.,The girl is scared of the snake.,The boy is wearing funny hat.,children playing in the rain under a big tree.,0.027245649522362574,1.0
98,1496,1496,893,0,Scene893_0.png,There is an airplane in the sky.,There is a snake on the ground.,The girl and the boy are scared of the snake.,A snake is scaring the boy and the girl.,The girl is crying because of the snake.,The boy is scared of the snake.,couple flying in an airplane.,0.22540622091469076,1.0
99,1512,1512,88,5,Scene88_5.png,The boy is burning a wizard hat.,It was raining and lightning.,The girl is calling the boy.,The boy is sitting next to the fire.,The boy is holding teh hat.,The girl is standing next to the boy.,children standing under an umbrella in the rain.,0.04109931295947327,1.0
100,1516,1516,88,0,Scene88_0.png,The boy is setting up for a picnic.,The boy is wearing a viking helmet.,The boy is sad that it is raining.,The boy is wearing a funny hat.,The mustard and ketchup are on the table.,The rain makes the boy sad.,man jumping on a trampoline in the park.,0.004834250547359726,1.0
101,1519,1519,88,3,Scene88_3.png,The boy has a viking hat on.,There is rain pouring down.,There is a apple tree near.,The boy is wearing the hat.,The boy is sitting by the fire.,The balloon is flying in the air.,funny cartoon of a fireman sitting on a hot air balloon.,0.20362689610474163,1.0
102,1520,1520,627,1,Scene627_1.png,The girl is wearing a pointy hat.,The boy is angry at the girl.,The cat is sitting beside of the girl.,The girl is wearing a witch hat.,The boy is holding a tennis racket.,The cat is sitting by the girl.,children playing tennis on a green lawn.,0.06836439479326249,1.0
103,1521,1521,627,7,Scene627_7.png,The girl is making a storm.,The girl is a witch.,The boy is running from the girl.,The girl is wearing a witch's hat.,The cat is standing with the girl.,The boy is running with a racket.,a cartoon boy and girl walking in the park.,0.0034559263887668614,1.0
104,1528,1528,627,4,Scene627_4.png,the cat stared at the boy.,The boy was sad caused he felled down.,The girl got on a witch hat.,The boy is holding a racket.,The girl is wearing a witch hat.,A cat is sitting close to the girl.,girl playing with cat in the grass.,0.08244130999023491,1.0
105,1573,1573,82,8,Scene82_8.png,The boy wears a blue baseball cap.,The boy is cheering the girl.,The girl is playing soccer.,The girl is kicking the soccer ball.,The boy is wearing a blue shirt.,There is a cloud in the sky.,a father and son playing football in the park.,0.05846917524105349,0.0
106,1577,1577,82,6,Scene82_6.png,The boy is playing soccer.,The girl is waving to someone.,The girl wants to play in the sandbox.,The boy is kicking the ball.,The boy is wearing the hat.,The girl is holding the pail.,children playing volleyball in the park vector art illustration.,0.03630636201598434,1.0
107,1578,1578,82,4,Scene82_4.png,The girl is smiling.,The boy is mad.,The boy is hitting the ball with his head.,The boy is very mad.,The girl is very happy.,The boy is near the girl.,boy and girl running in the park.,0.0010838818632350603,1.0
108,1582,1582,467,5,Scene467_5.png,The boy wants to play pirate ship.,The girl does not want the boy to be a pirate.,The girl wants to eat lunch.,The boy is wearing a pirate hat.,The boy looks angry.,The girl is wearing glasses.,children having fun on the playground.,1.5573854552848297e-07,1.0
